url,expected,response,threshold,amount,correct
https://dartmouthtimes.com/,True,True,1,1,True
https://hillsboroughsun.com/,True,True,1,1,True
https://swnewhampshirenews.com/,True,True,1,1,True
https://www.bbc.com/,False,True,1,1,False
https://thewellesleynews.com/,False,True,1,1,False
https://www.usatoday.com/,False,True,1,1,False
https://dartmouthtimes.com/,True,True,1,2,True
https://hillsboroughsun.com/,True,True,1,2,True
https://swnewhampshirenews.com/,True,True,1,2,True
https://www.bbc.com/,False,True,1,2,False
https://thewellesleynews.com/,False,True,1,2,False
https://www.usatoday.com/,False,True,1,2,False
https://dartmouthtimes.com/,True,True,1,3,True
https://hillsboroughsun.com/,True,True,1,3,True
https://swnewhampshirenews.com/,True,True,1,3,True
https://www.bbc.com/,False,True,1,3,False
https://thewellesleynews.com/,False,True,1,3,False
https://www.usatoday.com/,False,True,1,3,False
https://dartmouthtimes.com/,True,True,1,4,True
https://hillsboroughsun.com/,True,True,1,4,True
https://swnewhampshirenews.com/,True,True,1,4,True
https://www.bbc.com/,False,True,1,4,False
https://thewellesleynews.com/,False,True,1,4,False
https://www.usatoday.com/,False,True,1,4,False
https://dartmouthtimes.com/,True,True,1,5,True
https://hillsboroughsun.com/,True,True,1,5,True
https://swnewhampshirenews.com/,True,True,1,5,True
https://www.bbc.com/,False,True,1,5,False
https://thewellesleynews.com/,False,True,1,5,False
https://www.usatoday.com/,False,True,1,5,False
https://dartmouthtimes.com/,True,True,2,1,True
https://hillsboroughsun.com/,True,True,2,1,True
https://swnewhampshirenews.com/,True,True,2,1,True
https://www.bbc.com/,False,True,2,1,False
https://thewellesleynews.com/,False,True,2,1,False
https://www.usatoday.com/,False,False,2,1,True
https://dartmouthtimes.com/,True,True,2,2,True
https://hillsboroughsun.com/,True,True,2,2,True
https://swnewhampshirenews.com/,True,True,2,2,True
https://www.bbc.com/,False,True,2,2,False
https://thewellesleynews.com/,False,True,2,2,False
https://www.usatoday.com/,False,False,2,2,True
https://dartmouthtimes.com/,True,True,2,3,True
https://hillsboroughsun.com/,True,True,2,3,True
https://swnewhampshirenews.com/,True,True,2,3,True
https://www.bbc.com/,False,True,2,3,False
https://thewellesleynews.com/,False,True,2,3,False
https://www.usatoday.com/,False,False,2,3,True
https://dartmouthtimes.com/,True,True,2,4,True
https://hillsboroughsun.com/,True,True,2,4,True
https://swnewhampshirenews.com/,True,True,2,4,True
https://www.bbc.com/,False,True,2,4,False
https://thewellesleynews.com/,False,True,2,4,False
https://www.usatoday.com/,False,False,2,4,True
https://dartmouthtimes.com/,True,True,2,5,True
https://hillsboroughsun.com/,True,True,2,5,True
https://swnewhampshirenews.com/,True,True,2,5,True
https://www.bbc.com/,False,True,2,5,False
https://thewellesleynews.com/,False,True,2,5,False
https://www.usatoday.com/,False,False,2,5,True
https://dartmouthtimes.com/,True,True,3,1,True
https://hillsboroughsun.com/,True,True,3,1,True
https://swnewhampshirenews.com/,True,True,3,1,True
https://www.bbc.com/,False,False,3,1,True
https://thewellesleynews.com/,False,False,3,1,True
https://www.usatoday.com/,False,False,3,1,True
https://dartmouthtimes.com/,True,True,3,2,True
https://hillsboroughsun.com/,True,True,3,2,True
https://swnewhampshirenews.com/,True,True,3,2,True
https://www.bbc.com/,False,False,3,2,True
https://thewellesleynews.com/,False,False,3,2,True
https://www.usatoday.com/,False,False,3,2,True
https://dartmouthtimes.com/,True,True,3,3,True
https://hillsboroughsun.com/,True,True,3,3,True
https://swnewhampshirenews.com/,True,True,3,3,True
https://www.bbc.com/,False,False,3,3,True
https://thewellesleynews.com/,False,False,3,3,True
https://www.usatoday.com/,False,False,3,3,True
https://dartmouthtimes.com/,True,True,3,4,True
https://hillsboroughsun.com/,True,True,3,4,True
https://swnewhampshirenews.com/,True,True,3,4,True
https://www.bbc.com/,False,False,3,4,True
https://thewellesleynews.com/,False,False,3,4,True
https://www.usatoday.com/,False,False,3,4,True
https://dartmouthtimes.com/,True,True,3,5,True
https://hillsboroughsun.com/,True,True,3,5,True
https://swnewhampshirenews.com/,True,True,3,5,True
https://www.bbc.com/,False,False,3,5,True
https://thewellesleynews.com/,False,False,3,5,True
https://www.usatoday.com/,False,False,3,5,True
https://dartmouthtimes.com/,True,True,4,1,True
https://hillsboroughsun.com/,True,True,4,1,True
https://swnewhampshirenews.com/,True,True,4,1,True
https://www.bbc.com/,False,False,4,1,True
https://thewellesleynews.com/,False,False,4,1,True
https://www.usatoday.com/,False,False,4,1,True
https://dartmouthtimes.com/,True,True,4,2,True
https://hillsboroughsun.com/,True,True,4,2,True
https://swnewhampshirenews.com/,True,True,4,2,True
https://www.bbc.com/,False,False,4,2,True
https://thewellesleynews.com/,False,False,4,2,True
https://www.usatoday.com/,False,False,4,2,True
https://dartmouthtimes.com/,True,True,4,3,True
https://hillsboroughsun.com/,True,True,4,3,True
https://swnewhampshirenews.com/,True,True,4,3,True
https://www.bbc.com/,False,False,4,3,True
https://thewellesleynews.com/,False,False,4,3,True
https://www.usatoday.com/,False,False,4,3,True
https://dartmouthtimes.com/,True,True,4,4,True
https://hillsboroughsun.com/,True,True,4,4,True
https://swnewhampshirenews.com/,True,True,4,4,True
https://www.bbc.com/,False,False,4,4,True
https://thewellesleynews.com/,False,False,4,4,True
https://www.usatoday.com/,False,False,4,4,True
https://dartmouthtimes.com/,True,True,4,5,True
https://hillsboroughsun.com/,True,True,4,5,True
https://swnewhampshirenews.com/,True,True,4,5,True
https://www.bbc.com/,False,False,4,5,True
https://thewellesleynews.com/,False,False,4,5,True
https://www.usatoday.com/,False,False,4,5,True
https://dartmouthtimes.com/,True,True,5,1,True
https://hillsboroughsun.com/,True,True,5,1,True
https://swnewhampshirenews.com/,True,True,5,1,True
https://www.bbc.com/,False,False,5,1,True
https://thewellesleynews.com/,False,False,5,1,True
https://www.usatoday.com/,False,False,5,1,True
https://dartmouthtimes.com/,True,True,5,2,True
https://hillsboroughsun.com/,True,True,5,2,True
https://swnewhampshirenews.com/,True,True,5,2,True
https://www.bbc.com/,False,False,5,2,True
https://thewellesleynews.com/,False,False,5,2,True
https://www.usatoday.com/,False,False,5,2,True
https://dartmouthtimes.com/,True,True,5,3,True
https://hillsboroughsun.com/,True,False,5,3,False
https://swnewhampshirenews.com/,True,True,5,3,True
https://www.bbc.com/,False,False,5,3,True
https://thewellesleynews.com/,False,False,5,3,True
https://www.usatoday.com/,False,False,5,3,True
https://dartmouthtimes.com/,True,False,5,4,False
https://hillsboroughsun.com/,True,False,5,4,False
https://swnewhampshirenews.com/,True,False,5,4,False
https://www.bbc.com/,False,False,5,4,True
https://thewellesleynews.com/,False,False,5,4,True
https://www.usatoday.com/,False,False,5,4,True
https://dartmouthtimes.com/,True,False,5,5,False
https://hillsboroughsun.com/,True,False,5,5,False
https://swnewhampshirenews.com/,True,False,5,5,False
https://www.bbc.com/,False,False,5,5,True
https://thewellesleynews.com/,False,False,5,5,True
https://www.usatoday.com/,False,False,5,5,True
https://dartmouthtimes.com/,True,True,6,1,True
https://hillsboroughsun.com/,True,True,6,1,True
https://swnewhampshirenews.com/,True,True,6,1,True
https://www.bbc.com/,False,False,6,1,True
https://thewellesleynews.com/,False,False,6,1,True
https://www.usatoday.com/,False,False,6,1,True
https://dartmouthtimes.com/,True,True,6,2,True
https://hillsboroughsun.com/,True,True,6,2,True
https://swnewhampshirenews.com/,True,True,6,2,True
https://www.bbc.com/,False,False,6,2,True
https://thewellesleynews.com/,False,False,6,2,True
https://www.usatoday.com/,False,False,6,2,True
https://dartmouthtimes.com/,True,False,6,3,False
https://hillsboroughsun.com/,True,False,6,3,False
https://swnewhampshirenews.com/,True,False,6,3,False
https://www.bbc.com/,False,False,6,3,True
https://thewellesleynews.com/,False,False,6,3,True
https://www.usatoday.com/,False,False,6,3,True
https://dartmouthtimes.com/,True,False,6,4,False
https://hillsboroughsun.com/,True,False,6,4,False
https://swnewhampshirenews.com/,True,False,6,4,False
https://www.bbc.com/,False,False,6,4,True
https://thewellesleynews.com/,False,False,6,4,True
https://www.usatoday.com/,False,False,6,4,True
https://dartmouthtimes.com/,True,False,6,5,False
https://hillsboroughsun.com/,True,False,6,5,False
https://swnewhampshirenews.com/,True,False,6,5,False
https://www.bbc.com/,False,False,6,5,True
https://thewellesleynews.com/,False,False,6,5,True
https://www.usatoday.com/,False,False,6,5,True
https://dartmouthtimes.com/,True,True,7,1,True
https://hillsboroughsun.com/,True,True,7,1,True
https://swnewhampshirenews.com/,True,False,7,1,False
https://www.bbc.com/,False,False,7,1,True
https://thewellesleynews.com/,False,False,7,1,True
https://www.usatoday.com/,False,False,7,1,True
https://dartmouthtimes.com/,True,False,7,2,False
https://hillsboroughsun.com/,True,False,7,2,False
https://swnewhampshirenews.com/,True,False,7,2,False
https://www.bbc.com/,False,False,7,2,True
https://thewellesleynews.com/,False,False,7,2,True
https://www.usatoday.com/,False,False,7,2,True
https://dartmouthtimes.com/,True,False,7,3,False
https://hillsboroughsun.com/,True,False,7,3,False
https://swnewhampshirenews.com/,True,False,7,3,False
https://www.bbc.com/,False,False,7,3,True
https://thewellesleynews.com/,False,False,7,3,True
https://www.usatoday.com/,False,False,7,3,True
https://dartmouthtimes.com/,True,False,7,4,False
https://hillsboroughsun.com/,True,False,7,4,False
https://swnewhampshirenews.com/,True,False,7,4,False
https://www.bbc.com/,False,False,7,4,True
https://thewellesleynews.com/,False,False,7,4,True
https://www.usatoday.com/,False,False,7,4,True
https://dartmouthtimes.com/,True,False,7,5,False
https://hillsboroughsun.com/,True,False,7,5,False
https://swnewhampshirenews.com/,True,False,7,5,False
https://www.bbc.com/,False,False,7,5,True
https://thewellesleynews.com/,False,False,7,5,True
https://www.usatoday.com/,False,False,7,5,True
https://dartmouthtimes.com/,True,False,8,1,False
https://hillsboroughsun.com/,True,False,8,1,False
https://swnewhampshirenews.com/,True,False,8,1,False
https://www.bbc.com/,False,False,8,1,True
https://thewellesleynews.com/,False,False,8,1,True
https://www.usatoday.com/,False,False,8,1,True
https://dartmouthtimes.com/,True,False,8,2,False
https://hillsboroughsun.com/,True,False,8,2,False
https://swnewhampshirenews.com/,True,False,8,2,False
https://www.bbc.com/,False,False,8,2,True
https://thewellesleynews.com/,False,False,8,2,True
https://www.usatoday.com/,False,False,8,2,True
https://dartmouthtimes.com/,True,False,8,3,False
https://hillsboroughsun.com/,True,False,8,3,False
https://swnewhampshirenews.com/,True,False,8,3,False
https://www.bbc.com/,False,False,8,3,True
https://thewellesleynews.com/,False,False,8,3,True
https://www.usatoday.com/,False,False,8,3,True
https://dartmouthtimes.com/,True,False,8,4,False
https://hillsboroughsun.com/,True,False,8,4,False
https://swnewhampshirenews.com/,True,False,8,4,False
https://www.bbc.com/,False,False,8,4,True
https://thewellesleynews.com/,False,False,8,4,True
https://www.usatoday.com/,False,False,8,4,True
https://dartmouthtimes.com/,True,False,8,5,False
https://hillsboroughsun.com/,True,False,8,5,False
https://swnewhampshirenews.com/,True,False,8,5,False
https://www.bbc.com/,False,False,8,5,True
https://thewellesleynews.com/,False,False,8,5,True
https://www.usatoday.com/,False,False,8,5,True
https://dartmouthtimes.com/,True,False,9,1,False
https://hillsboroughsun.com/,True,False,9,1,False
https://swnewhampshirenews.com/,True,False,9,1,False
https://www.bbc.com/,False,False,9,1,True
https://thewellesleynews.com/,False,False,9,1,True
https://www.usatoday.com/,False,False,9,1,True
https://dartmouthtimes.com/,True,False,9,2,False
https://hillsboroughsun.com/,True,False,9,2,False
https://swnewhampshirenews.com/,True,False,9,2,False
https://www.bbc.com/,False,False,9,2,True
https://thewellesleynews.com/,False,False,9,2,True
https://www.usatoday.com/,False,False,9,2,True
https://dartmouthtimes.com/,True,False,9,3,False
https://hillsboroughsun.com/,True,False,9,3,False
https://swnewhampshirenews.com/,True,False,9,3,False
https://www.bbc.com/,False,False,9,3,True
https://thewellesleynews.com/,False,False,9,3,True
https://www.usatoday.com/,False,False,9,3,True
https://dartmouthtimes.com/,True,False,9,4,False
https://hillsboroughsun.com/,True,False,9,4,False
https://swnewhampshirenews.com/,True,False,9,4,False
https://www.bbc.com/,False,False,9,4,True
https://thewellesleynews.com/,False,False,9,4,True
https://www.usatoday.com/,False,False,9,4,True
https://dartmouthtimes.com/,True,False,9,5,False
https://hillsboroughsun.com/,True,False,9,5,False
https://swnewhampshirenews.com/,True,False,9,5,False
https://www.bbc.com/,False,False,9,5,True
https://thewellesleynews.com/,False,False,9,5,True
https://www.usatoday.com/,False,False,9,5,True
https://dartmouthtimes.com/,True,False,10,1,False
https://hillsboroughsun.com/,True,False,10,1,False
https://swnewhampshirenews.com/,True,False,10,1,False
https://www.bbc.com/,False,False,10,1,True
https://thewellesleynews.com/,False,False,10,1,True
https://www.usatoday.com/,False,False,10,1,True
https://dartmouthtimes.com/,True,False,10,2,False
https://hillsboroughsun.com/,True,False,10,2,False
https://swnewhampshirenews.com/,True,False,10,2,False
https://www.bbc.com/,False,False,10,2,True
https://thewellesleynews.com/,False,False,10,2,True
https://www.usatoday.com/,False,False,10,2,True
https://dartmouthtimes.com/,True,False,10,3,False
https://hillsboroughsun.com/,True,False,10,3,False
https://swnewhampshirenews.com/,True,False,10,3,False
https://www.bbc.com/,False,False,10,3,True
https://thewellesleynews.com/,False,False,10,3,True
https://www.usatoday.com/,False,False,10,3,True
https://dartmouthtimes.com/,True,False,10,4,False
https://hillsboroughsun.com/,True,False,10,4,False
https://swnewhampshirenews.com/,True,False,10,4,False
https://www.bbc.com/,False,False,10,4,True
https://thewellesleynews.com/,False,False,10,4,True
https://www.usatoday.com/,False,False,10,4,True
https://dartmouthtimes.com/,True,False,10,5,False
https://hillsboroughsun.com/,True,False,10,5,False
https://swnewhampshirenews.com/,True,False,10,5,False
https://www.bbc.com/,False,False,10,5,True
https://thewellesleynews.com/,False,False,10,5,True
https://www.usatoday.com/,False,False,10,5,True
